"Page","Section","Section Description"
"Home","Navbar",""
"","Hero Header Section","Bold statement about health, self-growth, and movement with a centered ""Book Now"" button"
"","Header Section","Brief welcoming intro to ALUNA Studio and its mission"
"","How It Works Section","Step-by-step: Choose class, book spot, join session"
"","Features List Section","App features: Book classes, buy/manage packs, track progress"
"","Feature Section","Highlight instructor expertise and supportive atmosphere"
"","CTA Section","Encourage booking a first class, with another ""Book Now"" button"
"","Footer",""
"Pricing","Navbar",""
"","Header Section","Clean, bold black and gold header introducing studio pricing and packages."
"","Header Section","Brief intro to ALUNA Studio’s philosophy and community – focus on self-growth, health, and empowerment through Pilates."
"","Features List Section","List what’s included with purchase: book any class, manage sessions, track remaining sessions, waitlist & reminders, flexible payments."
"","Pricing Comparison Section","Comparison of package value/savings per session."
"","CTA Section","Call to action: ""Buy Now"" or ""Book Your First Class""."
"","FAQ Section","Answers to pricing/package questions (expiration, refund, how to upgrade, etc.)."
"","Footer",""
"Instructors","Navbar",""
"","Header Section","Page title (""Meet Our Instructors"") with a brief intro highlighting the expertise and welcoming nature of the team."
"","Team Section","Profile cards for each instructor with photo, name, role, certifications, and a short bio."
"","Features List Section","Key qualities or specialties of the team (e.g., certified Pilates experts, personalized attention, diverse class styles)."
"","CTA Section","Invitation to book a class with your favorite instructor with a button linking to the schedule/booking page."
"","Contact Section","Studio contact info for questions about instructors or private sessions."
"","Footer",""
